ID,Station Name,Latitude,Longitude,Number of Bikes
403,Langley Lot,42.330528,-71.192861,11
404,Beacon St at Charles St,42.356052,-71.069849,19
405,Watertown St at Albemarle Rd,42.35410408,-71.21382214,11
406,Clarendon St at Newbury St,42.35159662,-71.07561663,19
407,Centre St at Seaverns Ave,42.3121203,-71.1142981,15
408,Newton Highlands T,42.32206566,-71.20637298,15
409,Boston College T,42.33987892,-71.16708934,17
410,Hyde Park Ave at Arlington St,42.26286746,-71.12163126,19
411,Washington St at Denton Terr,42.28072815,-71.13423757,19
412,Beacon at Walnut,42.33006232,-71.20668411,15
413,Auburndale,42.34805541,-71.24775946,15
414,California at Chapel,42.36514871,-71.20236039,12
415,Newton Library,42.33620337,-71.20779455,13
416,Washington St at Walnut St,42.35145812,-71.20764971,11
417,Blue Hill Ave at Southwood St,42.31786021,-71.07798629,15
418,Massachusetts Ave at Columbus Ave,42.340814,-71.0816197,14
419,Centre St at Commonwealth Ave,42.3362358,-71.1934421,11
420,Hayes Square - Vine St at Moulton St,42.377022,-71.056605,19
421,Post Office Square,42.35585436,-71.05459746,19
422,Congress St at Sleeper St,42.3510045,-71.04930013,19
423,Washington St at Peters Park,42.34303291,-71.0668873,19
424,Andrew T Stop - Dorchester Ave at Dexter St,42.33073333,-71.05699851,15
425,Brighton Ave at Linden St,42.3528376,-71.1296752,19
426,Northeastern University - North Parking Lot,42.341814,-71.090179,15
427,Boylston St at Charles St (Temp Winter Location),42.35258525,-71.06770277,31
428,Mass Ave at Grafton St,42.40726052,-71.14382132,11
429,Broadway at Grafton St,42.40994213,-71.1400932,11
430,Mass Ave at Broadway,42.41420213,-71.15051883,11
431,St Mary's,42.34619708,-71.10728681,15
432,Washington Sq,42.33985827,-71.13421171,15
433,Beacon St at Tappan St,42.3382668,-71.13894682,15
434,Coolidge Corner - Beacon St at Centre St,42.341598,-71.123338,19
435,Boylston St at Berkeley St,42.35114198,-71.07329249,15
436,Boylston St at Exeter St,42.34958942,-71.07946779,19
437,Boylston St at Fairfield St,42.34880382,-71.08236909,19
438,Central Ave at River St,42.27094707,-71.07337901,15
439,1200 Beacon St,42.34414899,-71.11467361,15
440,Newbury St at Hereford St,42.348717,-71.085954,22
441,Boylston St at Dartmouth St,42.3501932,-71.07744187,19
442,Copley Square - Dartmouth St at Boylston St,42.34992828,-71.07739207,31
