Name,Review Count,Ratings,Bike Station Id,Category
Banh Mi Chi Toi - My Sister's Sandwich Cafe,6,4.5,26,Restaurant
JUST THAI KITCHEN - JTK,75,4.0,26,Restaurant
Billy's Texas Bbq,25,3.0,26,Restaurant
American Provisions Dorchester,19,4.0,26,Restaurant
Mc Donald's,7,1.5,26,Restaurant
Oriental House Restaurant,33,1.5,26,Restaurant
Canton House,30,2.5,26,Restaurant
Flames,9,3.5,26,Restaurant
Publico Street Bistro And Garden,287,4.5,27,Restaurant
Lincoln Tavern And Restaurant,1050,4.0,27,Restaurant
Roza Lyons,52,4.0,27,Restaurant
Ethel And Andy's Sandwich Shop,43,4.5,27,Restaurant
Hunters Kitchen And Bar,76,4.0,27,Restaurant
Loco Taqueria And Oyster Bar,727,4.0,27,Restaurant
Chickadee,248,4.5,27,Restaurant
Cafe Porto Bello,179,4.0,27,Restaurant
The Paramount,279,3.5,27,Restaurant
My Diner,72,4.0,27,Restaurant
The Broadway,225,3.5,27,Restaurant
American Provisions,184,4.5,27,Restaurant
Fat Baby,205,3.5,27,Restaurant
Seapoint Restaurant,45,4.0,27,Restaurant
The Shannon Tavern,22,4.0,27,Restaurant
Alma Gaucha,111,4.5,27,Restaurant
Moko Japanese Cuisine,140,3.5,27,Restaurant
L Street Diner And Pizzeria,131,4.0,27,Restaurant
Rick's 11A Cafe,19,4.5,27,Restaurant
Village Pizza And Grill,121,3.5,27,Restaurant
Batifol,38,4.5,28,Restaurant
Sumiao Hunan Kitchen,423,4.0,28,Restaurant
Lily P's,97,4.0,28,Restaurant
Desfina Restaurant,265,4.0,28,Restaurant
Dumpling Xuan,160,4.5,28,Restaurant
Helmand Restaurant,942,4.0,28,Restaurant
Aceituna Grill,361,4.0,28,Restaurant
The Lexington,46,4.0,28,Restaurant
Shy Bird,231,3.5,28,Restaurant
Glass House,146,3.5,28,Restaurant
State Park,309,4.0,28,Restaurant
Geppetto,45,4.5,28,Restaurant
DIG,11,4.0,28,Restaurant
Art Bar Cambridge,248,3.5,28,Restaurant
Tatte Bakery And Cafe,652,4.0,28,Restaurant
Bambara,329,3.5,28,Restaurant
Vincent's,33,4.5,28,Restaurant
Bon Me - Test Kitchen,35,3.5,28,Restaurant
