Name,Bike Station Id,Category
Applebee's,8,['American Restaurant']
City Fresh Foods,8,['Fast Food Restaurant']
Olive Garden,8,['Italian Restaurant']
Chinese Spaghetti Factory,8,"['Asian Restaurant', 'Chinese Restaurant']"
Pizza Hut,8,"['Pizzeria', 'Fast Food Restaurant']"
Top Mix Bar & Kitchen,8,"['Cocktail Bar', 'American Restaurant']"
J.P. Licks,8,"['Coffee Shop', 'Ice Cream Parlor', 'Restaurant']"
Panera Bread,8,"['Bakery', 'Cafes, Coffee, and Tea Houses', 'Fast Food Restaurant']"
Totto Ramen,8,['Ramen Restaurant']
Gyu-Kaku Japanese BBQ,8,"['Asian Restaurant', 'Japanese Restaurant']"
Bully Boy Distillers,8,"['Distillery', 'Restaurant']"
Pajaro Chimi﻿ Add to Favorites,8,['Fast Food Restaurant']
110 Grill,8,['American Restaurant']
Boston Salad & Provision,8,['Restaurant']
Dorchester Brewing Company,8,"['Bar', 'Brewery', 'Restaurant']"
M&M BBQ @ Dbco,8,['BBQ Joint']
McDonald's,8,"['Burger Joint', 'Fast Food Restaurant']"
DJ's European Market and Delicatessen,8,"['Deli', 'Polish Restaurant']"
Home Run Cafe,8,"['Cuban Restaurant', 'Latin American Restaurant', 'South American Restaurant']"
224 Boston Street Restaurant,8,['Restaurant']
Nos Casa Cafe,8,"['Fast Food Restaurant', 'Latin American Restaurant', 'Spanish Restaurant']"
Gennaro's,8,['Restaurant']
Side Chick Boston,8,['Fried Chicken Joint']
Restaurant Laura,8,"['African Restaurant', 'Latin American Restaurant', 'Portuguese Restaurant']"
Baltic Deli & Cafe,8,['Deli']
Café Polonia,8,"['Café', 'Polish Restaurant']"
Doña Habana,8,"['Caribbean Restaurant', 'Cuban Restaurant']"
Alex's Pizza,8,['Pizzeria']
Roka,8,"['Asian Restaurant', 'Chinese Restaurant', 'Sushi Restaurant']"
Molly's Farmhouse Coffee,8,"['Coffee Shop', 'Sandwich Restaurant']"
The Sports Connection,8,"['Dive Bar', 'Restaurant']"
Sports Connection Bar & Grill,8,"['Dive Bar', 'Sports Bar', 'Restaurant']"
Florian Banquet Hall,8,['Restaurant']
Maxine's On Saint James,8,['Wings Joint']
Dot Tavern,8,"['Dive Bar', 'Restaurant']"
kae Lisa,8,['Restaurant']
Boston Beer Works,8,"['Bar', 'American Restaurant', 'Seafood Restaurant']"
New Ho Toy,8,['Chinese Restaurant']
Paraiso Restaurant,8,"['Peruvian Restaurant', 'Spanish Restaurant']"
Sugar Bowl Ice Cream & Coffee,8,"['Coffee Shop', 'Ice Cream Parlor', 'American Restaurant']"
Casa Real,8,['Mexican Restaurant']
New Garden Restaurant,8,['Chinese Restaurant']
Oleana,9,"['Mediterranean Restaurant', 'Middle Eastern Restaurant']"
Brooklyn Bagel Factory,9,"['Bagel Shop', 'Café', 'Pizzeria']"
Kantipur Cafe,9,"['Pizzeria', 'American Restaurant', 'Himalayan Restaurant']"
New Republik,9,"['Beer Bar', 'Sandwich Restaurant']"
Puritan & Company,9,['Restaurant']
Momi Nonmi,9,['Japanese Restaurant']
All Star Pizza Bar,9,['Pizzeria']
All Star Sandwich Bar,9,"['Deli', 'American Restaurant', 'Sandwich Restaurant']"
Christina's Homemade Ice Cream,9,['Restaurant']
Clover Food Lab,9,"['Fast Food Restaurant', 'Sandwich Restaurant', 'Vegan and Vegetarian Restaurant']"
Judy's Bay,9,['Japanese Restaurant']
Lord Hobo,9,"['Beer Bar', 'Gastropub', 'American Restaurant']"
The Druid,9,['Restaurant']
Muqueca Restaurant,9,['Restaurant']
Koreana,9,"['BBQ Joint', 'Sushi Restaurant', 'Korean Restaurant']"
1369 Coffee House,9,"['Coffee Shop', 'American Restaurant', 'Fast Food Restaurant']"
