Station Name,Latitude,Longitude,Number of Bikes,Station ID,Number of Restaurants,Number of Rentals,Average Restaurant Rating,Average Rental Rating
One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,19,fce261dec8cf0d2593b65a7e8f726597,60,12,4.147058823529412,2.25
JFK/UMass T Stop,42.32033973515723,-71.05118036270142,15,9f6fae7b1b3a673377b452474ca2bcf1,57,1,3.8666666666666667,2.0
Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,15,582f82ed392b7b5c072a7bbe40a40dfb,58,10,4.266666666666667,2.3
Main St at Austin St,42.375603,-71.064608,11,1e356b3d262d3819ace481af4e2d4135,55,1,3.9,2.0
Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,19,8386693bdc273780efffd5d5eb9aed7c,61,11,4.055555555555555,2.227272727272727
Longwood Ave at Binney St,42.338629,-71.1065,15,eb276799b6ebc22ee82f33566eb778b7,66,8,3.892857142857143,2.0
B.U. Central - 725 Comm. Ave.,42.350406,-71.108279,11,a5edb12b9f8d171ae1165a9a2ae1f644,61,5,3.9411764705882355,2.0
Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624444796878,-71.08798563480377,26,2b46609efdfe9b6d300bad1e817e1efd,61,4,4.133333333333334,2.0
Brighton Mills - 370 Western Ave,42.3615457081725,-71.13776206970215,15,ea09e29b591e36435fb8b78918651709,57,8,4.115384615384615,2.0
HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,42.3374174845973,-71.10286116600037,25,d0ff6538806a4e5c46aa7e95f3fa47ce,65,5,4.0,2.0
Soldiers Field Park - 111 Western Ave,42.36426344063853,-71.1182756971175,15,b52b9b7b35eac94bff5cb2f6967150ca,62,10,4.117647058823529,1.9
Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,18,3c1cde4f3197b2599cc6140dc1ea4a80,63,18,4.138888888888889,2.111111111111111
Park Dr at Buswell St,42.347241,-71.105301,15,97a624904d68d950bc3c5016b4d4b28e,62,7,4.0625,2.0
Shawmut T Stop,42.292917,-71.06575,19,15f926c6b0601bb45f2397e85fee8888,62,3,3.8125,2.0
359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,23,119f3ccd51ee15db7ff6f41bd497c601,56,12,4.157894736842105,2.25
Broadway at Beacham St,42.39836059620832,-71.06373842814719,15,bec1e7ce259575ad90178cfa9f298db7,49,3,3.375,2.0
State Street at Channel Center,42.344137,-71.052608,19,77b48a5112ce801c139722ae4d0edad7,57,10,4.117647058823529,2.05
