ID,Station Name,Latitude,Longitude,Number of Bikes
208,Berkshire Street at Cambridge Street,42.37207657915397,-71.08995433905875,19
209,University of Massachusetts Boston - Campus Center,42.31218918475612,-71.03648586203235,19
210,Maverick St at Massport Path,42.36774122306014,-71.0333597474255,15
211,Boston Landing,42.35656092308941,-71.14167537549292,17
212,Sullivan Square,42.38445225635844,-71.07514854529654,19
213,Whittier St Health Center,42.33286288486264,-71.09218861916816,19
214,Hyde Park Ave at Walk Hill St,42.29606704649873,-71.11601199963843,15
215,Charles Circle - Charles St at Cambridge St,42.36079296858265,-71.07118962337152,19
216,700 Commonwealth Ave.,42.34960945333059,-71.10391523698127,16
217,Geiger Gibson Community Health Center,42.31886468217537,-71.04536797860419,19
218,Wilson Square,42.38567578752914,-71.11412136298895,15
219,Glendale Square (Ferry St at Broadway),42.41427294293992,-71.04479655659816,15
220,Brookline Village - Station Street at MBTA,42.33274392304887,-71.11626680949485,18
221,Columbus Ave at W. Canton St,42.34474224772802,-71.07648162175792,19
222,Washington St at Waltham St,42.34157471873748,-71.06890439987183,15
223,Cambridge St at Joy St,42.36125721646537,-71.06528744101524,15
224,Magoun Square at Trum Field,42.39778339961249,-71.10594004465383,14
225,Landmark Center - Brookline Ave at Park Dr,42.34369055719748,-71.10235286881107,15
226,The Overlook at St. Gabriel's,42.34679008347347,-71.14549813806661,18
227,Boylston St at Massachusetts Ave,42.34740620525209,-71.08678414955648,15
228,7 Acre Park,42.41143222973408,-71.06823265090497,15
229,Government Center - Cambridge St at Court St,42.3598253979878,-71.05979576244862,35
230,Coolidge Sq.,42.37207611472287,-71.15683130688922,12
231,Watertown Sq,42.365260317694485,-71.18573324459247,15
232,Graham and Parks School – Linnaean St at Walker St,42.38294430172271,-71.12449831038248,19
233,Smith Pl at Wilson Rd,42.39239749145834,-71.15058331757609,19
234,Gove St at Orleans St,42.37057753242139,-71.03558540113227,19
235,MIT Hayward St at Amherst St,42.36085937353302,-71.08551858007559,27
236,Arsenal Yards,42.36277388549605,-71.15764854490408,15
237,Swan St. Park,42.412504507772105,-71.05842225271772,15
238,Wasgott Playground,42.4093300667225,-71.06381878293178,15
239,Galileo Galilei Way at Main Street,42.363003781560096,-71.08974037706501,19
240,Thorndike Field at Minuteman Bikeway,42.40016804853787,-71.14456963094199,11
241,Kearins Playground,42.40616124132245,-71.06041654944418,11
242,MIT Carleton St at Amherst St,42.36054174140606,-71.08669817447662,27
243,Revere City Hall,42.40741,-71.0139,11
244,Revere Public Library,42.408088,-71.008942,11
245,Community Path at Lowell St,42.392525,-71.105587,19
246,Day Sq,42.379295,-71.027733,16
247,Martha Eliot Health Center,42.324173,-71.10196,16
248,Blue Hill Ave at Havelock St,42.286012,-71.090986,18
249,Harrison Ave at E. Dedham St,42.339194,-71.06975,19
250,Harvard Stadium: N. Harvard St at Soldiers Field Rd,42.368019,-71.1242,15
251,2 Hummingbird Lane at Olmsted Green,42.28887,-71.095003,17
252,Innovation Lab - 125 Western Ave at Batten Way,42.36371276003581,-71.12459778785706,19
253,160 Arsenal,42.36466403441681,-71.17569386959076,11
254,Cary Square,42.398135645582464,-71.030709722545,12
255,Chelsea Square,42.39022671103383,-71.03857017704286,11
256,Broadway at Gerrish Ave,42.39453079292221,-71.03085594484583,11
257,Chelsea Station,42.39636527849676,-71.03987179230899,11
258,855 Broadway,42.398417726101584,-71.02390923402707,11
259,Nichols Ave. at Watertown Greenway,42.36762048745005,-71.1565663665533,12
260,JFK Crossing at Harvard St. / Thorndike St.,42.346551241753566,-71.1283321143128,15
261,Cypress St at Clark Playground,42.32784317478686,-71.1253622174263,15
262,Linwood St at Minuteman Bikeway,42.40935395518158,-71.14906518727366,11
263,Conway Park - Somerville Avenue,42.383638948222654,-71.10853672027588,23
264,Bellingham Square,42.3931961102951,-71.03344559669495,11
265,Inman Square at Springfield St.,42.37426713524931,-71.10026478767395,25
266,Union Square East,42.380078,-71.090098,19
267,955 Mass Ave,42.36895180540729,-71.10998779535294,19
268,Salem MBTA - Washington at Federal St,42.52345239346618,-70.89611113071442,13
269,Mayor Salvo Path at Mill St,42.51803519796769,-70.89570075273514,11
270,Shetland Park - Congress at Peabody St,42.51836788262243,-70.88952362537384,11
271,Lafayette at Leach St,42.51142784358897,-70.89183300733566,11
272,Salem State University - Bike Path at Loring Ave,42.50182398896298,-70.89478075504303,15
273,One Beacon St,42.358477644348106,-71.06135129928589,16
274,Foley St at Grand Union Blvd,42.39301840035393,-71.08071684837341,19
275,Vassal Lane at Tobin/VLUS,42.38536765218425,-71.13775670528412,19
276,Harvard St and Stedman St,42.3443517550051,-71.12490355968475,15
277,High St at Cypress St,42.32464510949409,-71.12135231494904,15
278,Concord Ave at Spinelli Place,42.390719,-71.1538877,19
279,Danehy Park at New Street,42.389456,-71.139019,19
280,Clinton St at North St,42.3607028354884,-71.05524927377701,18
281,Circuit Drive at American Legion Hwy,42.29704126420948,-71.09171926975249,19
282,Walnut Ave at School St,42.31242399029812,-71.09616905450821,19
283,Sumner St at Shirley Ave,42.40833705812975,-70.99804848432541,11
284,Orr Sq (Shirley Ave),42.40715655698643,-70.99272429943085,11
285,Old Morse Park at Putnam Ave,42.35766247889882,-71.1084133386612,15
286,Morton St at Gallivan Blvd,42.278747,-71.080286,15
287,Cleary Sq,42.2556,-71.12444,16
288,606 American Legion Hwy at Canterbury St,42.28578,-71.109725,18
289,555 Metropolitan Ave,42.2681,-71.11924,18
290,Valenti Way at Haverhill St,42.36473898691789,-71.05934903025626,24
291,Somerville High School & Central Library,42.3864,-71.09601,17
292,Marion St at Harvard St,42.34012242696642,-71.12070563810447,15
293,Cambridge Crossing at North First Street,42.371141,-71.076198,23
294,Nashua Street at Red Auerbach Way,42.365673,-71.064263,36
295,Forsyth St at Huntington Ave,42.339202,-71.090511,15
296,Railroad Lot and Minuteman Bikeway,42.41606457115141,-71.15336636682059,11
297,Rogers St & Land Blvd,42.366446738529454,-71.07654601335526,19
298,Hyde Park Library,42.2568376,-71.122509,15
299,Harvard Square at Brattle St / Eliot St,42.373328798874056,-71.12098601080106,15
300,Ross Playground,42.2645666,-71.1145523,19
301,Galileo Galilei Way at Fulkerson St/Binney St,42.3664204,-71.0885418,19
302,Aquarium T Stop - 200 Atlantic Ave,42.35991176110118,-71.0514298081398,23
303,Fan Pier,42.3533905070523,-71.04457139968872,15
304,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,19
305,Seaport Square - Seaport Blvd at Northern Ave,42.35148193460858,-71.04436084628105,23
306,Surface Rd at India St,42.358155,-71.052163,19
307,Rowes Wharf at Atlantic Ave,42.357143,-71.050699,14
308,ID Building West,42.344796,-71.031614,19
309,ID Building East,42.344827,-71.028664,17
310,The Eddy - New St at Sumner St,42.370744,-71.044201,15
311,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.351586001198456,-71.04569256305693,15
312,Porzio Park,42.364119035231525,-71.02876782417297,17
313,645 Summer St,42.341780891371904,-71.03987016504107,19
314,Congress St at Northern Ave,42.3481,-71.03764,13
315,St. Alphonsus St at Tremont St,42.33329254719182,-71.10124647617339,17
316,West End Park,42.36590788445084,-71.06446668505669,35
317,Pier 4 Blvd at Autumn Ln,42.3502102,-71.0446705,19
318,Flat 9 at Whittier,42.33420351352245,-71.08767616843123,15
319,Roseland St At Dorchester Ave,42.2911685327193,-71.06300890445709,12
320,Hawthorne Boulevard,42.5223714,-70.8903331,9
321,Silber Way,42.34949599514002,-71.10057592391968,19
322,Child Street at Brian P. Murphy Staircase,42.37197678467975,-71.07200495972165,23
323,Union Square - Somerville,42.37964789967527,-71.09540475672475,19
324,Tremont St at Northampton St,42.338431795290944,-71.08169049924982,19
325,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.367074071490926,-71.07679277658461,15
326,Raymond Park at Walden St,42.38736953747185,-71.12761001482795,19
327,Wellington MBTA,42.4023682,-71.07573182424781,19
328,Main Street/Albany Street/Technology Square,42.3629016,-71.0915669,23
329,Gilman Square T at Medford St,42.3867355,-71.0946444,19
330,Shawmut Ave at Lenox St,42.33584612997077,-71.08038157224655,19
331,Hood Park,42.38004534693313,-71.0730457305908,23
332,Salem State University - North Campus,42.503332,-70.891444,11
333,Essex St at Dalton Parkway,42.516223,-70.905535,11
334,Forest River Park,42.506395,-70.88693,11
335,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.369239074859216,-71.11687034368515,21
336,Salem MBTA - Lower Level,42.523994,-70.89684,11
337,Community Life Center,42.520136,-70.906271,9
338,Goodhue St at Grove St,42.520897,-70.910528,11
339,Tappan St at Brookline Hills MBTA,42.331370168043215,-71.1268836054569,15
340,Main St at Brooks Park,42.411709,-71.110444,11
341,Medford Sq - Riverside Ave at River St,42.417724,-71.108102,11
342,Tufts Sq - Main St at Medford St,42.401697,-71.106128,11
343,Gore Street at Lambert Street,42.373079797934935,-71.08634233665725,19
344,Broad Canal Way at Third Street,42.36304549626695,-71.08287078916874,19
345,Malden Center T Station,42.426541,-71.073179,11
346,Northern Strand at Main St,42.42386,-71.067793,11
347,Gramsdorf Playground,42.408156,-71.0429,14
348,Teele Square,42.40087950159558,-71.12590793383788,15
349,North St at Liberty Hill Ave,42.52989964975891,-70.90614259243011,11
350,Malden High School,42.426537658440544,-71.06393694877625,11
351,Airport T Stop - Bremen St at Brooks St,42.37410287664702,-71.03276431560516,15
352,John Ahern Field at Kennedy-Longfellow School,42.36903566594827,-71.08630959910442,19
353,Everett Square (Broadway at Chelsea St),42.40743489432222,-71.05533242225647,14
354,87-101 Cambridgepark Drive,42.39522187031066,-71.14421904097979,23
355,Broadway T Stop,42.343048583900966,-71.05803430091328,19
356,Boynton Yards at 101 South Street,42.375447604963405,-71.09117388747109,19
357,Washington St at Myrtle St,42.3817508,-71.0839523,15
358,Clarendon Hill at Broadway,42.406302,-71.132446,15
359,Craigie at Summer St,42.38831607584243,-71.1106824874878,19
360,Beacon St at Washington / Kirkland,42.37875351212593,-71.10707223415375,19
361,Somerville City Hall Annex,42.39189811591863,-71.09745375830244,19
362,Elm St at White St,42.38952436305763,-71.11694140364307,19
363,Ball Sq,42.39936816059618,-71.11111521723615,19
364,Somerville Hospital,42.390446216041305,-71.10856622457504,15
365,Piers Park,42.36501119822304,-71.03528559207916,15
366,Glendon St at Condor St,42.38240377674137,-71.03024303913116,19
367,Addison St at Saratoga St,42.38518146513944,-71.0151367,19
368,Marion St at White St,42.38066930871317,-71.03907315999093,19
369,Burlington Ave at Brookline Ave,42.345733,-71.100694,15
370,Western Ave at Richardson St,42.36178741066188,-71.14393111327445,19
371,Washington St at Egremont Rd,42.34286835071959,-71.14127840855872,15
372,Canal St at Causeway St,42.36530094929082,-71.06092190993877,23
373,Broad St at Central St,42.35849449039304,-71.05426469875965,15
374,Blossom St at Charles St,42.36435589027983,-71.0695936904267,15
375,Boston Medical Center - E Concord St at Harrison Ave,42.33639915372498,-71.07306711393903,19
376,Arch St at Franklin St,42.35533501941256,-71.0582291708306,31
377,Uphams Corner,42.31727474327453,-71.06537003967787,15
378,Uphams Corner T Stop - Magnolia St at Dudley St,42.318697341722434,-71.0697814822197,15
379,Walnut Ave at Warren St,42.324081,-71.083235,15
380,Morton St T,42.280725142920296,-71.08617242434775,15
381,Dudley Town Common - Mt Pleasant Ave at Blue Hill Ave,42.325333,-71.075354,15
382,E Cottage St at Columbia Rd,42.320561,-71.06198,19
383,Fields Corner T Stop,42.29963348842063,-71.06068975823291,15
384,Park St at Norwell St,42.29442578670662,-71.07821760713703,15
385,Thetford Ave at Norfolk St,42.286212948246096,-71.07942931372236,15
386,Archdale Rd at Washington St,42.29266592872725,-71.12119538714069,15
387,Northbourne Rd at Hyde Park Ave,42.29118034790426,-71.117736660035,19
388,Mt. Hope St at Hyde Park Ave,42.28484472443536,-71.11874517062459,19
389,American Legion Hwy at Hyde Park Ave,42.27265394101898,-71.119903922081,19
390,Knoll St at Centre St,42.29376656473529,-71.1365658044815,19
391,Bellevue T Stop,42.28611420958351,-71.14636927843094,19
392,Watertown Town Hall,42.36759307632294,-71.18751436471939,11
393,Salem Ferry Landing,42.52189284110247,-70.8806911110878,11
394,Centre St at Washington St,42.35574334805774,-71.18641942508475,11
395,Washington St at Fuller St,42.281986277339136,-71.07147924620222,15
396,Washington St at Crafts St,42.35389024396587,-71.19943707257335,11
397,Washington St at Bowdoin St,42.29916497936589,-71.07345871645519,15
398,Bacon St at Washington St,42.35711920909866,-71.1860453666327,11
399,Nonantum Library,42.36068455768156,-71.20146199598821,15
400,Washington St at Walsh Playground,42.27719469639791,-71.06955613950048,19
401,Ryan Playground - Dorchester Ave at Harbor View St,42.317642,-71.056664,15
402,Adams St at Lonsdale St,42.291679428741226,-71.05726346409938,15
403,Langley Lot,42.330528,-71.192861,11
404,Beacon St at Charles St,42.356052,-71.069849,19
405,Watertown St at Albemarle Rd,42.354104081396585,-71.21382214128971,11
406,Clarendon St at Newbury St,42.35159662465317,-71.0756166279316,19
407,Centre St at Seaverns Ave,42.3121203,-71.1142981,15
