Station Name,Latitude,Longitude,Number of Bikes,Station ID
B.U. Central - 725 Comm. Ave.,42.350406,-71.108279,11,a5edb12b9f8d171ae1165a9a2ae1f644
Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624444796878,-71.08798563480377,26,2b46609efdfe9b6d300bad1e817e1efd
Brighton Mills - 370 Western Ave,42.3615457081725,-71.13776206970215,15,ea09e29b591e36435fb8b78918651709
HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,42.3374174845973,-71.10286116600037,25,d0ff6538806a4e5c46aa7e95f3fa47ce
Soldiers Field Park - 111 Western Ave,42.364263440638524,-71.1182756971175,15,b52b9b7b35eac94bff5cb2f6967150ca
Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,18,3c1cde4f3197b2599cc6140dc1ea4a80
Park Dr at Buswell St,42.347241,-71.105301,15,97a624904d68d950bc3c5016b4d4b28e
Shawmut T Stop,42.292917,-71.06575,19,15f926c6b0601bb45f2397e85fee8888
359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,23,119f3ccd51ee15db7ff6f41bd497c601
Broadway at Beacham St,42.39836059620832,-71.06373842814719,15,bec1e7ce259575ad90178cfa9f298db7
State Street at Channel Center,42.344137,-71.052608,19,77b48a5112ce801c139722ae4d0edad7
Ink Block - Harrison Ave at Herald St,42.345901,-71.063187,27,0d0f6b413915f118e0c8c7e0ea107ffa
Chelsea St at Vine St,42.40328056972533,-71.04762639859473,15,b88fd0fad9168f030085889536ac18ff
Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,15,3eda44ce546b2d45a468cf7e2d0300a1
S Huntington Ave at Heath St,42.32760387040573,-71.11089169979095,15,ced361acc5ef864aa71260a0caa2dc92
Lansdowne T Stop,42.34734473177431,-71.1001680795016,27,b7b27ef8df5603f0476fb80646033f48
Broadway at Maple St,42.410346909767846,-71.05260457852637,13,6fb17aa11f7d7c681e5ac44d7478b869
Community Path at Cedar Street,42.39407223665884,-71.11133694648743,15,591b9b9624fd8c26c755250255b04a64
Williams St at Washington St,42.306539,-71.107669,23,d68b75ea345e415f1f13e0da99feef6b
Broadway at Central St,42.39517150121575,-71.09850591982195,19,55a3be70a759afd7dd2630ca764e3e64
East Somerville Library (Broadway and Illinois),42.3876281075134,-71.08318716287613,15,34f851114e5b238a1b9342729e0f5cfe
Assembly Square T,42.392232840046276,-71.07746601104736,15,bccde70d1e1cbaba15a5831057baeb1b
Shawmut Ave at Oak St W,42.34854543411198,-71.06559185315746,15,fa73e16335a18b7063558a81b1c655c9
Four Corners - 157 Washington St,42.304127927390155,-71.07929527759552,11,5cab52c2620fc92b384e46435a715190
Fresh Pond Reservation,42.38267827521855,-71.143478951426,17,c55f98cd397c770914c28a590e3ab90a
Main St at Baldwin St,42.380857,-71.070629,19,94467f4ac036f159a1be0dd07280cecc
Stuart St at Charles St,42.351146,-71.066289,15,1714951f74f4b116e42fc312dffa3be9
Christian Science Plaza - Massachusetts Ave at Westland Ave,42.3436658245146,-71.08582377433777,19,95fed99e3a4c8fd726a808cfe4bb2587
Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831,27,43b6ca106693a73e04b23890e713ea24
Main St at Thompson Sq,42.374878467440965,-71.06383498767171,15,17c39ffd4398015ef42c243387f5eaa7
Commonwealth Ave at Agganis Way,42.35169201885973,-71.11903488636017,15,5bf24ef852ef0deecb6ac0d0852a9dd6
Grove St at Community Path,42.396386809455,-71.12011306006025,15,7c3a46de6b2673928fe18d91125e44ab
Murphy Skating Rink - 1880 Day Blvd,42.336448,-71.023739,19,0b0ef90ed68e023d65ed3b1c57eb6d36
Washington St at Melnea Cass Blvd,42.332817,-71.081198,19,294242dbc29d86a80477f22608479bc8
Rindge Avenue - O'Neill Library,42.392766,-71.129042,19,c199d7ad26651f605e7bb8778852a5e4
Alewife Station at Russell Field,42.396105,-71.139459,23,2b4e2a73580c8b3d22be6ea6480f0f30
EF - North Point Park,42.369885,-71.069957,23,e05d253ccb22c56ee8624c467c8d81f6
Danehy Park,42.388966,-71.132788,17,73935d28a37369a3e00400aacfb755f7
Kendall Street,42.363560158429884,-71.08216792345047,17,d797b3a092f9f889b1cf181ec17e1ae2
Oak Square - 615 Washington St,42.35057,-71.166491,15,9780cd14bba5099819fcd16c8bd8d897
175 N Harvard St,42.363796,-71.129164,18,ded434853a62ec9703f2484cca685c20
Somerville City Hall,42.386844,-71.09812,19,fc9d0d6dab0b0ccbb300289b4b2e92df
Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,17,39595521b8d76cff6372dc8355b1190c
Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304347,-71.10057324171066,15,295b9c9707dfc5ad38f5a26740a06b48
Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,19,559f6c10954fbe02c18f04cc0c2f7ddd
